
Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:11:15 2021
Timers Off: Mon Jun 21 22:23:12 2021

Wall Time:      717.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | JK: K                           :   3856.333u     12.100s    291.947w    332 calls
| | | JK: K1                        :   3183.650u      2.750s    240.110w    332 calls
| | | JK: K2                        :    672.300u      9.350s     51.784w    332 calls
| | JK: wK                          :   6775.000u     14.200s    511.657w    664 calls
| | | JK: wK1                       :   6091.283u      4.217s    459.182w   1328 calls
| | | JK: wK2                       :    679.117u      9.917s     52.366w    664 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    332 calls
HF: Form F                          :      1.367u      0.033s      0.124w    332 calls
HF: Form D                          :      0.733u      0.000s      0.077w    332 calls
HF: DIIS                            :     30.950u      2.417s      2.477w    331 calls
| DIISManager::add_entry            :      6.600u      0.767s      0.485w    305 calls
| DIISManager::extrapolate          :     12.067u      1.317s      1.001w    305 calls
| | bMatrix setup                   :      5.517u      0.850s      0.476w    305 calls
| | bMatrix pseudoinverse           :      0.267u      0.000s      0.020w    305 calls
| | New vector                      :      6.267u      0.467s      0.503w    305 calls
HF: Form C                          :     66.967u      1.333s      5.145w    331 calls
Grad: V T Perturb                   :    135.667u      1.000s     10.329w     27 calls
Grad: S                             :      1.067u      0.017s      0.091w     27 calls
Grad: JK                            :   5293.050u    168.733s    533.283w     27 calls
| JKGrad: Amn                       :    635.100u     40.850s     78.741w     27 calls
| JKGrad: Awmn                      :    700.417u     39.533s     82.703w     27 calls
| JKGrad: AB                        :    245.267u      8.333s     30.989w     27 calls
| JKGrad: UV                        :     54.917u      6.183s      9.162w     27 calls
| JKGrad: ABx                       :     30.333u      1.150s      3.385w     27 calls
| JKGrad: Amnx                      :   3578.100u     70.500s    324.408w     27 calls
Grad: XC                            :   1259.050u      0.717s     95.202w     27 calls
| Properties                        :    430.367p                         104476 calls
| Functional                        :     27.451p                         104476 calls
| V_xc gradient                     :    297.397p                         104476 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 02:18:12 2021
Timers Off: Tue Jun 22 02:46:15 2021

Wall Time:     1683.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    179.233u      1.467s     14.561w     21 calls
JK: (A|mn)                          :    658.300u      0.033s     49.433w     21 calls
JK: (A|Q)^-1/2                      :    155.217u      2.033s     17.889w     21 calls
JK: (Q|mn)                          :    137.967u      0.017s     20.742w     21 calls
JK: (A|mn)^L                        :    271.933u      0.200s     20.434w     21 calls
JK: (A|Q)^-1                        :    154.933u      2.000s     17.886w     21 calls
JK: (Q|mn)^L                        :    132.683u      0.000s     19.917w     21 calls
JK: (A|mn)^R                        :    317.950u      0.200s     23.880w     21 calls
HF: Form core H                     :      2.317u      0.067s      0.195w     21 calls
HF: Form S/X                        :      4.417u      0.083s      0.337w     21 calls
HF: Guess                           :      9.883u      0.183s      0.759w     21 calls
SAD Guess                           :      9.583u      0.183s      0.735w      1 calls
HF: Form G                          :  12195.367u    156.233s    928.362w    254 calls
RV: Form V                          :   2945.717u      0.683s    221.185w    254 calls
Properties                          :    856.278p                         1059179 calls
Functional                          :    270.176p                         1059179 calls
V_xc                                :    991.454p                         978314 calls
JK: D                               :      0.617u      0.017s      0.067w    254 calls
JK: USO2AO                          :      1.417u      0.083s      0.091w    254 calls
JK: JK                              :   9245.133u    155.400s    706.823w    254 calls
JK: J                               :     83.417u      1.383s      7.427w    254 calls
JK: J1                              :     47.167u      0.850s      3.682w    254 calls
JK: J2                              :     33.983u      0.483s      3.598w    254 calls
JK: K                               :   2924.117u      8.133s    220.385w    254 calls
JK: K1                              :   2413.983u      0.867s    181.320w    254 calls
JK: K2                              :    509.983u      7.267s     39.025w    254 calls
JK: wK                              :   5156.433u      8.867s    387.875w    508 calls
JK: wK1                             :   4641.433u      1.450s    348.601w   1016 calls
JK: wK2                             :    511.417u      7.367s     39.190w    508 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    254 calls
HF: Form F                          :      1.133u      0.000s      0.092w    254 calls
HF: Form D                          :      0.717u      0.000s      0.055w    254 calls
HF: DIIS                            :     23.067u      1.867s      1.859w    253 calls
DIISManager::add_entry              :      5.000u      0.733s      0.367w    233 calls
DIISManager::extrapolate            :      9.150u      0.967s      0.746w    233 calls
bMatrix setup                       :      4.283u      0.483s      0.350w    233 calls
bMatrix pseudoinverse               :      0.233u      0.000s      0.015w    233 calls
New vector                          :      4.600u      0.483s      0.379w    233 calls
HF: Form C                          :     50.883u      0.783s      3.876w    253 calls
Grad: V T Perturb                   :    106.117u      0.700s      8.016w     21 calls
Grad: S                             :      0.800u      0.000s      0.068w     21 calls
Grad: JK                            :   4115.467u    130.167s    413.356w     21 calls
JKGrad: Amn                         :    495.800u     31.233s     61.183w     21 calls
JKGrad: Awmn                        :    544.950u     30.917s     64.113w     21 calls
JKGrad: AB                          :    191.067u      6.100s     24.003w     21 calls
JKGrad: UV                          :     42.683u      4.733s      7.111w     21 calls
JKGrad: ABx                         :     23.383u      0.733s      2.578w     21 calls
JKGrad: Amnx                        :   2779.000u     54.750s    251.336w     21 calls
Grad: XC                            :    914.383u      0.283s     68.670w     21 calls
V_xc gradient                       :    189.196p                          80865 calls

--------------------------------------------------------------------------------------
V: Grid                             :    179.233u      1.467s     14.561w     21 calls
JK: (A|mn)                          :    658.300u      0.033s     49.433w     21 calls
JK: (A|Q)^-1/2                      :    155.217u      2.033s     17.889w     21 calls
JK: (Q|mn)                          :    137.967u      0.017s     20.742w     21 calls
JK: (A|mn)^L                        :    271.933u      0.200s     20.434w     21 calls
JK: (A|Q)^-1                        :    154.933u      2.000s     17.886w     21 calls
JK: (Q|mn)^L                        :    132.683u      0.000s     19.917w     21 calls
JK: (A|mn)^R                        :    317.950u      0.200s     23.880w     21 calls
HF: Form core H                     :      2.317u      0.067s      0.195w     21 calls
HF: Form S/X                        :      4.417u      0.083s      0.337w     21 calls
HF: Guess                           :      9.883u      0.183s      0.759w     21 calls
| SAD Guess                         :      9.583u      0.183s      0.735w      1 calls
HF: Form G                          :  12195.367u    156.233s    928.362w    254 calls
| RV: Form V                        :   2945.717u      0.683s    221.185w    254 calls
| | Properties                      :    522.429p                         978314 calls
| | Functional                      :    248.712p                         978314 calls
| | V_xc                            :    991.454p                         978314 calls
| JK: D                             :      0.617u      0.017s      0.067w    254 calls
| JK: USO2AO                        :      1.417u      0.083s      0.091w    254 calls
| JK: JK                            :   9245.133u    155.400s    706.823w    254 calls
| | JK: J                           :     83.417u      1.383s      7.427w    254 calls
| | | JK: J1                        :     47.167u      0.850s      3.682w    254 calls
| | | JK: J2                        :     33.983u      0.483s      3.598w    254 calls
| | JK: K                           :   2924.117u      8.133s    220.385w    254 calls
| | | JK: K1                        :   2413.983u      0.867s    181.320w    254 calls
| | | JK: K2                        :    509.983u      7.267s     39.025w    254 calls
| | JK: wK                          :   5156.433u      8.867s    387.875w    508 calls
| | | JK: wK1                       :   4641.433u      1.450s    348.601w   1016 calls
| | | JK: wK2                       :    511.417u      7.367s     39.190w    508 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    254 calls
HF: Form F                          :      1.133u      0.000s      0.092w    254 calls
HF: Form D                          :      0.717u      0.000s      0.055w    254 calls
HF: DIIS                            :     23.067u      1.867s      1.859w    253 calls
| DIISManager::add_entry            :      5.000u      0.733s      0.367w    233 calls
| DIISManager::extrapolate          :      9.150u      0.967s      0.746w    233 calls
| | bMatrix setup                   :      4.283u      0.483s      0.350w    233 calls
| | bMatrix pseudoinverse           :      0.233u      0.000s      0.015w    233 calls
| | New vector                      :      4.600u      0.483s      0.379w    233 calls
HF: Form C                          :     50.883u      0.783s      3.876w    253 calls
Grad: V T Perturb                   :    106.117u      0.700s      8.016w     21 calls
Grad: S                             :      0.800u      0.000s      0.068w     21 calls
Grad: JK                            :   4115.467u    130.167s    413.356w     21 calls
| JKGrad: Amn                       :    495.800u     31.233s     61.183w     21 calls
| JKGrad: Awmn                      :    544.950u     30.917s     64.113w     21 calls
| JKGrad: AB                        :    191.067u      6.100s     24.003w     21 calls
| JKGrad: UV                        :     42.683u      4.733s      7.111w     21 calls
| JKGrad: ABx                       :     23.383u      0.733s      2.578w     21 calls
| JKGrad: Amnx                      :   2779.000u     54.750s    251.336w     21 calls
Grad: XC                            :    914.383u      0.283s     68.670w     21 calls
| Properties                        :    333.848p                          80865 calls
| Functional                        :     21.464p                          80865 calls
| V_xc gradient                     :    189.196p                          80865 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 02:46:21 2021
Timers Off: Tue Jun 22 03:17:54 2021

Wall Time:     1893.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    181.100u      1.550s     14.782w     22 calls
JK: (A|mn)                          :    695.550u      0.067s     52.232w     22 calls
JK: (A|Q)^-1/2                      :    163.533u      2.450s     18.872w     22 calls
JK: (Q|mn)                          :    144.250u      0.017s     21.677w     22 calls
JK: (A|mn)^L                        :    284.633u      0.400s     21.426w     22 calls
JK: (A|Q)^-1                        :    163.183u      2.200s     18.924w     22 calls
JK: (Q|mn)^L                        :    139.217u      0.017s     20.888w     22 calls
JK: (A|mn)^R                        :    331.633u      0.167s     24.988w     22 calls
HF: Form core H                     :      2.333u      0.150s      0.200w     22 calls
HF: Form S/X                        :      4.600u      0.083s      0.355w     22 calls
HF: Guess                           :      9.900u      0.250s      0.762w     22 calls
SAD Guess                           :      9.583u      0.250s      0.738w      1 calls
HF: Form G                          :  14429.717u    185.833s   1098.975w    302 calls
RV: Form V                          :   3451.850u      0.650s    259.275w    302 calls
Properties                          :    956.123p                         1256931 calls
Functional                          :    318.670p                         1256931 calls
V_xc                                :   1161.691p                         1171592 calls
JK: D                               :      0.833u      0.017s      0.080w    302 calls
JK: USO2AO                          :      1.567u      0.050s      0.108w    302 calls
JK: JK                              :  10972.483u    185.050s    839.271w    302 calls
JK: J                               :    100.750u      1.767s      8.892w    302 calls
JK: J1                              :     56.517u      1.167s      4.399w    302 calls
JK: J2                              :     41.617u      0.550s      4.319w    302 calls
JK: K                               :   3463.617u      9.850s    261.144w    302 calls
JK: K1                              :   2855.733u      1.000s    214.618w    302 calls
JK: K2                              :    607.433u      8.833s     46.477w    302 calls
JK: wK                              :   6127.617u     10.133s    461.178w    604 calls
JK: wK1                             :   5512.867u      1.650s    414.279w   1208 calls
JK: wK2                             :    610.100u      8.400s     46.800w    604 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    302 calls
HF: Form F                          :      1.333u      0.000s      0.110w    302 calls
HF: Form D                          :      0.833u      0.000s      0.066w    302 calls
HF: DIIS                            :     28.383u      2.183s      2.299w    301 calls
DIISManager::add_entry              :      5.900u      0.517s      0.421w    280 calls
DIISManager::extrapolate            :     11.633u      1.350s      0.984w    280 calls
bMatrix setup                       :      5.333u      0.683s      0.466w    280 calls
bMatrix pseudoinverse               :      0.333u      0.017s      0.019w    280 calls
New vector                          :      5.967u      0.650s      0.496w    280 calls
HF: Form C                          :     60.400u      1.117s      4.616w    301 calls
Grad: V T Perturb                   :    110.583u      0.817s      8.358w     22 calls
Grad: S                             :      0.883u      0.000s      0.071w     22 calls
Grad: JK                            :   4308.100u    136.983s    432.349w     22 calls
JKGrad: Amn                         :    516.483u     33.100s     63.781w     22 calls
JKGrad: Awmn                        :    570.167u     32.467s     66.918w     22 calls
JKGrad: AB                          :    199.267u      6.267s     25.033w     22 calls
JKGrad: UV                          :     44.333u      5.017s      7.402w     22 calls
JKGrad: ABx                         :     24.700u      0.867s      2.743w     22 calls
JKGrad: Amnx                        :   2912.333u     57.417s    263.253w     22 calls
Grad: XC                            :   1003.883u      0.267s     75.391w     22 calls
V_xc gradient                       :    227.431p                          85339 calls

--------------------------------------------------------------------------------------
V: Grid                             :    181.100u      1.550s     14.782w     22 calls
JK: (A|mn)                          :    695.550u      0.067s     52.232w     22 calls
JK: (A|Q)^-1/2                      :    163.533u      2.450s     18.872w     22 calls
JK: (Q|mn)                          :    144.250u      0.017s     21.677w     22 calls
JK: (A|mn)^L                        :    284.633u      0.400s     21.426w     22 calls
JK: (A|Q)^-1                        :    163.183u      2.200s     18.924w     22 calls
JK: (Q|mn)^L                        :    139.217u      0.017s     20.888w     22 calls
JK: (A|mn)^R                        :    331.633u      0.167s     24.988w     22 calls
HF: Form core H                     :      2.333u      0.150s      0.200w     22 calls
HF: Form S/X                        :      4.600u      0.083s      0.355w     22 calls
HF: Guess                           :      9.900u      0.250s      0.762w     22 calls
| SAD Guess                         :      9.583u      0.250s      0.738w      1 calls
HF: Form G                          :  14429.717u    185.833s   1098.975w    302 calls
| RV: Form V                        :   3451.850u      0.650s    259.275w    302 calls
| | Properties                      :    607.865p                         1171592 calls
| | Functional                      :    296.337p                         1171592 calls
| | V_xc                            :   1161.691p                         1171592 calls
| JK: D                             :      0.833u      0.017s      0.080w    302 calls
| JK: USO2AO                        :      1.567u      0.050s      0.108w    302 calls
| JK: JK                            :  10972.483u    185.050s    839.271w    302 calls
| | JK: J                           :    100.750u      1.767s      8.892w    302 calls
| | | JK: J1                        :     56.517u      1.167s      4.399w    302 calls
| | | JK: J2                        :     41.617u      0.550s      4.319w    302 calls
| | JK: K                           :   3463.617u      9.850s    261.144w    302 calls
| | | JK: K1                        :   2855.733u      1.000s    214.618w    302 calls
| | | JK: K2                        :    607.433u      8.833s     46.477w    302 calls
| | JK: wK                          :   6127.617u     10.133s    461.178w    604 calls
| | | JK: wK1                       :   5512.867u      1.650s    414.279w   1208 calls
| | | JK: wK2                       :    610.100u      8.400s     46.800w    604 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    302 calls
HF: Form F                          :      1.333u      0.000s      0.110w    302 calls
HF: Form D                          :      0.833u      0.000s      0.066w    302 calls
HF: DIIS                            :     28.383u      2.183s      2.299w    301 calls
| DIISManager::add_entry            :      5.900u      0.517s      0.421w    280 calls
| DIISManager::extrapolate          :     11.633u      1.350s      0.984w    280 calls
| | bMatrix setup                   :      5.333u      0.683s      0.466w    280 calls
| | bMatrix pseudoinverse           :      0.333u      0.017s      0.019w    280 calls
| | New vector                      :      5.967u      0.650s      0.496w    280 calls
HF: Form C                          :     60.400u      1.117s      4.616w    301 calls
Grad: V T Perturb                   :    110.583u      0.817s      8.358w     22 calls
Grad: S                             :      0.883u      0.000s      0.071w     22 calls
Grad: JK                            :   4308.100u    136.983s    432.349w     22 calls
| JKGrad: Amn                       :    516.483u     33.100s     63.781w     22 calls
| JKGrad: Awmn                      :    570.167u     32.467s     66.918w     22 calls
| JKGrad: AB                        :    199.267u      6.267s     25.033w     22 calls
| JKGrad: UV                        :     44.333u      5.017s      7.402w     22 calls
| JKGrad: ABx                       :     24.700u      0.867s      2.743w     22 calls
| JKGrad: Amnx                      :   2912.333u     57.417s    263.253w     22 calls
Grad: XC                            :   1003.883u      0.267s     75.391w     22 calls
| Properties                        :    348.259p                          85339 calls
| Functional                        :     22.334p                          85339 calls
| V_xc gradient                     :    227.431p                          85339 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 03:17:59 2021
Timers Off: Tue Jun 22 03:41:25 2021

Wall Time:     1405.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    144.700u      1.183s     11.801w     17 calls
JK: (A|mn)                          :    531.367u      0.067s     39.899w     17 calls
JK: (A|Q)^-1/2                      :    126.317u      1.433s     14.545w     17 calls
JK: (Q|mn)                          :    111.783u      0.000s     16.799w     17 calls
JK: (A|mn)^L                        :    218.567u      0.200s     16.425w     17 calls
JK: (A|Q)^-1                        :    124.117u      1.667s     14.304w     17 calls
JK: (Q|mn)^L                        :    107.400u      0.000s     16.111w     17 calls
JK: (A|mn)^R                        :    255.183u      0.133s     19.164w     17 calls
HF: Form core H                     :      1.767u      0.083s      0.157w     17 calls
HF: Form S/X                        :      3.567u      0.117s      0.273w     17 calls
HF: Guess                           :      9.900u      0.150s      0.755w     17 calls
SAD Guess                           :      9.633u      0.150s      0.734w      1 calls
HF: Form G                          :  10393.400u    132.817s    791.424w    216 calls
RV: Form V                          :   2524.567u      0.483s    189.552w    216 calls
Properties                          :    717.794p                         907223 calls
Functional                          :    230.419p                         907223 calls
V_xc                                :    851.193p                         841033 calls
JK: D                               :      0.633u      0.017s      0.057w    216 calls
JK: USO2AO                          :      1.067u      0.017s      0.077w    216 calls
JK: JK                              :   7865.150u    132.267s    601.571w    216 calls
JK: J                               :     70.433u      1.117s      6.350w    216 calls
JK: J1                              :     40.333u      0.700s      3.141w    216 calls
JK: J2                              :     28.333u      0.400s      3.084w    216 calls
JK: K                               :   2488.883u      6.767s    187.643w    216 calls
JK: K1                              :   2053.200u      0.933s    154.300w    216 calls
JK: K2                              :    435.333u      5.833s     33.308w    216 calls
JK: wK                              :   4385.167u      7.633s    329.934w    432 calls
JK: wK1                             :   3945.700u      1.400s    296.409w    864 calls
JK: wK2                             :    436.633u      6.167s     33.454w    432 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    216 calls
HF: Form F                          :      1.117u      0.000s      0.078w    216 calls
HF: Form D                          :      0.667u      0.000s      0.047w    216 calls
HF: DIIS                            :     19.850u      1.400s      1.611w    215 calls
DIISManager::add_entry              :      4.317u      0.400s      0.309w    199 calls
DIISManager::extrapolate            :      7.950u      0.933s      0.665w    199 calls
bMatrix setup                       :      3.667u      0.533s      0.313w    199 calls
bMatrix pseudoinverse               :      0.317u      0.017s      0.013w    199 calls
New vector                          :      3.967u      0.383s      0.337w    199 calls
HF: Form C                          :     43.117u      0.833s      3.282w    215 calls
Grad: V T Perturb                   :     85.767u      0.467s      6.469w     17 calls
Grad: S                             :      0.667u      0.000s      0.055w     17 calls
Grad: JK                            :   3341.883u    106.367s    335.336w     17 calls
JKGrad: Amn                         :    402.150u     25.533s     49.595w     17 calls
JKGrad: Awmn                        :    442.500u     24.983s     51.941w     17 calls
JKGrad: AB                          :    153.933u      4.883s     19.327w     17 calls
JKGrad: UV                          :     34.667u      4.050s      5.805w     17 calls
JKGrad: ABx                         :     18.850u      0.650s      2.093w     17 calls
JKGrad: Amnx                        :   2258.667u     44.750s    204.121w     17 calls
Grad: XC                            :    776.400u      0.183s     58.299w     17 calls
V_xc gradient                       :    173.619p                          66190 calls

--------------------------------------------------------------------------------------
V: Grid                             :    144.700u      1.183s     11.801w     17 calls
JK: (A|mn)                          :    531.367u      0.067s     39.899w     17 calls
JK: (A|Q)^-1/2                      :    126.317u      1.433s     14.545w     17 calls
JK: (Q|mn)                          :    111.783u      0.000s     16.799w     17 calls
JK: (A|mn)^L                        :    218.567u      0.200s     16.425w     17 calls
JK: (A|Q)^-1                        :    124.117u      1.667s     14.304w     17 calls
JK: (Q|mn)^L                        :    107.400u      0.000s     16.111w     17 calls
JK: (A|mn)^R                        :    255.183u      0.133s     19.164w     17 calls
HF: Form core H                     :      1.767u      0.083s      0.157w     17 calls
HF: Form S/X                        :      3.567u      0.117s      0.273w     17 calls
HF: Guess                           :      9.900u      0.150s      0.755w     17 calls
| SAD Guess                         :      9.633u      0.150s      0.734w      1 calls
HF: Form G                          :  10393.400u    132.817s    791.424w    216 calls
| RV: Form V                        :   2524.567u      0.483s    189.552w    216 calls
| | Properties                      :    446.464p                         841033 calls
| | Functional                      :    213.008p                         841033 calls
| | V_xc                            :    851.193p                         841033 calls
| JK: D                             :      0.633u      0.017s      0.057w    216 calls
| JK: USO2AO                        :      1.067u      0.017s      0.077w    216 calls
| JK: JK                            :   7865.150u    132.267s    601.571w    216 calls
| | JK: J                           :     70.433u      1.117s      6.350w    216 calls
| | | JK: J1                        :     40.333u      0.700s      3.141w    216 calls
| | | JK: J2                        :     28.333u      0.400s      3.084w    216 calls
| | JK: K                           :   2488.883u      6.767s    187.643w    216 calls
| | | JK: K1                        :   2053.200u      0.933s    154.300w    216 calls
| | | JK: K2                        :    435.333u      5.833s     33.308w    216 calls
| | JK: wK                          :   4385.167u      7.633s    329.934w    432 calls
| | | JK: wK1                       :   3945.700u      1.400s    296.409w    864 calls
| | | JK: wK2                       :    436.633u      6.167s     33.454w    432 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    216 calls
HF: Form F                          :      1.117u      0.000s      0.078w    216 calls
HF: Form D                          :      0.667u      0.000s      0.047w    216 calls
HF: DIIS                            :     19.850u      1.400s      1.611w    215 calls
| DIISManager::add_entry            :      4.317u      0.400s      0.309w    199 calls
| DIISManager::extrapolate          :      7.950u      0.933s      0.665w    199 calls
| | bMatrix setup                   :      3.667u      0.533s      0.313w    199 calls
| | bMatrix pseudoinverse           :      0.317u      0.017s      0.013w    199 calls
| | New vector                      :      3.967u      0.383s      0.337w    199 calls
HF: Form C                          :     43.117u      0.833s      3.282w    215 calls
Grad: V T Perturb                   :     85.767u      0.467s      6.469w     17 calls
Grad: S                             :      0.667u      0.000s      0.055w     17 calls
Grad: JK                            :   3341.883u    106.367s    335.336w     17 calls
| JKGrad: Amn                       :    402.150u     25.533s     49.595w     17 calls
| JKGrad: Awmn                      :    442.500u     24.983s     51.941w     17 calls
| JKGrad: AB                        :    153.933u      4.883s     19.327w     17 calls
| JKGrad: UV                        :     34.667u      4.050s      5.805w     17 calls
| JKGrad: ABx                       :     18.850u      0.650s      2.093w     17 calls
| JKGrad: Amnx                      :   2258.667u     44.750s    204.121w     17 calls
Grad: XC                            :    776.400u      0.183s     58.299w     17 calls
| Properties                        :    271.330p                          66190 calls
| Functional                        :     17.412p                          66190 calls
| V_xc gradient                     :    173.619p                          66190 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 03:41:30 2021
Timers Off: Tue Jun 22 04:10:27 2021

Wall Time:     1736.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    174.250u      1.467s     14.288w     21 calls
JK: (A|mn)                          :    664.550u      0.133s     49.909w     21 calls
JK: (A|Q)^-1/2                      :    158.817u      2.600s     18.442w     21 calls
JK: (Q|mn)                          :    138.183u      0.033s     20.764w     21 calls
JK: (A|mn)^L                        :    275.600u      0.233s     20.720w     21 calls
JK: (A|Q)^-1                        :    155.217u      2.517s     17.990w     21 calls
JK: (Q|mn)^L                        :    132.567u      0.000s     19.910w     21 calls
JK: (A|mn)^R                        :    320.367u      0.250s     24.072w     21 calls
HF: Form core H                     :      2.200u      0.167s      0.195w     21 calls
HF: Form S/X                        :      4.400u      0.117s      0.336w     21 calls
HF: Guess                           :      9.883u      0.233s      0.762w     21 calls
SAD Guess                           :      9.617u      0.217s      0.737w      1 calls
HF: Form G                          :  12788.183u    162.883s    973.939w    265 calls
RV: Form V                          :   3106.567u      0.750s    233.382w    265 calls
Properties                          :    889.202p                         1111960 calls
Functional                          :    283.382p                         1111960 calls
V_xc                                :   1046.062p                         1030316 calls
JK: D                               :      0.683u      0.017s      0.072w    265 calls
JK: USO2AO                          :      1.250u      0.033s      0.095w    265 calls
JK: JK                              :   9676.983u    161.983s    740.181w    265 calls
JK: J                               :     86.583u      1.367s      7.831w    265 calls
JK: J1                              :     49.617u      0.933s      3.892w    265 calls
JK: J2                              :     34.367u      0.383s      3.784w    265 calls
JK: K                               :   3053.833u      8.583s    230.189w    265 calls
JK: K1                              :   2517.100u      0.883s    189.101w    265 calls
JK: K2                              :    536.500u      7.700s     41.045w    265 calls
JK: wK                              :   5405.483u      9.083s    406.779w    530 calls
JK: wK1                             :   4866.517u      1.600s    365.671w   1060 calls
JK: wK2                             :    535.067u      7.450s     41.020w    530 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    265 calls
HF: Form F                          :      1.117u      0.067s      0.096w    265 calls
HF: Form D                          :      0.700u      0.000s      0.058w    265 calls
HF: DIIS                            :     24.517u      1.883s      1.987w    264 calls
DIISManager::add_entry              :      5.350u      0.533s      0.382w    244 calls
DIISManager::extrapolate            :      9.783u      1.167s      0.820w    244 calls
bMatrix setup                       :      4.517u      0.700s      0.387w    244 calls
bMatrix pseudoinverse               :      0.183u      0.000s      0.017w    244 calls
New vector                          :      5.067u      0.467s      0.414w    244 calls
HF: Form C                          :     53.100u      1.050s      4.061w    264 calls
Grad: V T Perturb                   :    105.767u      0.800s      7.998w     21 calls
Grad: S                             :      0.817u      0.000s      0.068w     21 calls
Grad: JK                            :   4149.167u    133.267s    416.788w     21 calls
JKGrad: Amn                         :    496.900u     31.583s     61.450w     21 calls
JKGrad: Awmn                        :    546.267u     31.300s     64.303w     21 calls
JKGrad: AB                          :    191.467u      6.500s     24.210w     21 calls
JKGrad: UV                          :     43.200u      5.033s      7.239w     21 calls
JKGrad: ABx                         :     24.050u      0.933s      2.682w     21 calls
JKGrad: Amnx                        :   2808.717u     56.167s    253.861w     21 calls
Grad: XC                            :    954.833u      0.367s     71.795w     21 calls
V_xc gradient                       :    210.222p                          81644 calls

--------------------------------------------------------------------------------------
V: Grid                             :    174.250u      1.467s     14.288w     21 calls
JK: (A|mn)                          :    664.550u      0.133s     49.909w     21 calls
JK: (A|Q)^-1/2                      :    158.817u      2.600s     18.442w     21 calls
JK: (Q|mn)                          :    138.183u      0.033s     20.764w     21 calls
JK: (A|mn)^L                        :    275.600u      0.233s     20.720w     21 calls
JK: (A|Q)^-1                        :    155.217u      2.517s     17.990w     21 calls
JK: (Q|mn)^L                        :    132.567u      0.000s     19.910w     21 calls
JK: (A|mn)^R                        :    320.367u      0.250s     24.072w     21 calls
HF: Form core H                     :      2.200u      0.167s      0.195w     21 calls
HF: Form S/X                        :      4.400u      0.117s      0.336w     21 calls
HF: Guess                           :      9.883u      0.233s      0.762w     21 calls
| SAD Guess                         :      9.617u      0.217s      0.737w      1 calls
HF: Form G                          :  12788.183u    162.883s    973.939w    265 calls
| RV: Form V                        :   3106.567u      0.750s    233.382w    265 calls
| | Properties                      :    551.501p                         1030316 calls
| | Functional                      :    261.764p                         1030316 calls
| | V_xc                            :   1046.062p                         1030316 calls
| JK: D                             :      0.683u      0.017s      0.072w    265 calls
| JK: USO2AO                        :      1.250u      0.033s      0.095w    265 calls
| JK: JK                            :   9676.983u    161.983s    740.181w    265 calls
| | JK: J                           :     86.583u      1.367s      7.831w    265 calls
| | | JK: J1                        :     49.617u      0.933s      3.892w    265 calls
| | | JK: J2                        :     34.367u      0.383s      3.784w    265 calls
| | JK: K                           :   3053.833u      8.583s    230.189w    265 calls
| | | JK: K1                        :   2517.100u      0.883s    189.101w    265 calls
| | | JK: K2                        :    536.500u      7.700s     41.045w    265 calls
| | JK: wK                          :   5405.483u      9.083s    406.779w    530 calls
| | | JK: wK1                       :   4866.517u      1.600s    365.671w   1060 calls
| | | JK: wK2                       :    535.067u      7.450s     41.020w    530 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    265 calls
HF: Form F                          :      1.117u      0.067s      0.096w    265 calls
HF: Form D                          :      0.700u      0.000s      0.058w    265 calls
HF: DIIS                            :     24.517u      1.883s      1.987w    264 calls
| DIISManager::add_entry            :      5.350u      0.533s      0.382w    244 calls
| DIISManager::extrapolate          :      9.783u      1.167s      0.820w    244 calls
| | bMatrix setup                   :      4.517u      0.700s      0.387w    244 calls
| | bMatrix pseudoinverse           :      0.183u      0.000s      0.017w    244 calls
| | New vector                      :      5.067u      0.467s      0.414w    244 calls
HF: Form C                          :     53.100u      1.050s      4.061w    264 calls
Grad: V T Perturb                   :    105.767u      0.800s      7.998w     21 calls
Grad: S                             :      0.817u      0.000s      0.068w     21 calls
Grad: JK                            :   4149.167u    133.267s    416.788w     21 calls
