
Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:11:15 2021
Timers Off: Mon Jun 21 22:23:12 2021

Wall Time:      717.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Grad: XC                            :    375.417u      0.083s     28.195w      9 calls
| Properties                        :    137.027p                          34739 calls
| Functional                        :      8.848p                          34739 calls
| V_xc gradient                     :     77.658p                          34739 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:23:17 2021
Timers Off: Mon Jun 21 22:43:56 2021

Wall Time:     1238.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    126.183u      1.083s     10.174w     15 calls
JK: (A|mn)                          :    471.267u      0.067s     35.384w     15 calls
JK: (A|Q)^-1/2                      :    107.067u      1.267s     12.126w     15 calls
JK: (Q|mn)                          :     95.767u      0.000s     14.389w     15 calls
JK: (A|mn)^L                        :    194.900u      0.133s     14.647w     15 calls
JK: (A|Q)^-1                        :    107.350u      1.267s     12.175w     15 calls
JK: (Q|mn)^L                        :     91.950u      0.000s     13.798w     15 calls
JK: (A|mn)^R                        :    227.150u      0.150s     17.065w     15 calls
HF: Form core H                     :      1.550u      0.117s      0.132w     15 calls
HF: Form S/X                        :      3.050u      0.083s      0.233w     15 calls
HF: Guess                           :      9.783u      0.233s      0.751w     15 calls
SAD Guess                           :      9.533u      0.217s      0.731w      1 calls
HF: Form G                          :   9248.550u    120.733s    703.530w    196 calls
RV: Form V                          :   2213.917u      0.517s    166.251w    196 calls
Properties                          :    618.384p                         815973 calls
Functional                          :    202.818p                         815973 calls
V_xc                                :    748.665p                         757968 calls
JK: D                               :      0.617u      0.017s      0.051w    196 calls
JK: USO2AO                          :      0.950u      0.050s      0.069w    196 calls
JK: JK                              :   7031.167u    120.117s    537.010w    196 calls
JK: J                               :     73.533u      1.167s      5.754w    196 calls
JK: J1                              :     36.133u      0.567s      2.825w    196 calls
JK: J2                              :     35.817u      0.583s      2.817w    196 calls
JK: K                               :   2235.900u      6.150s    168.435w    196 calls
JK: K1                              :   1848.767u      0.667s    138.854w    196 calls
JK: K2                              :    386.767u      5.483s     29.549w    196 calls
JK: wK                              :   3896.800u      6.383s    293.148w    392 calls
JK: wK1                             :   3506.283u      1.233s    263.374w    784 calls
JK: wK2                             :    387.767u      5.050s     29.710w    392 calls
JK: AO2USO                          :      0.033u      0.000s      0.000w    196 calls
HF: Form F                          :      0.817u      0.000s      0.070w    196 calls
HF: Form D                          :      0.583u      0.017s      0.041w    196 calls
HF: DIIS                            :     17.817u      1.283s      1.434w    195 calls
DIISManager::add_entry              :      3.767u      0.300s      0.271w    181 calls
DIISManager::extrapolate            :      7.217u      0.867s      0.603w    181 calls
bMatrix setup                       :      3.150u      0.600s      0.286w    181 calls
bMatrix pseudoinverse               :      0.133u      0.000s      0.012w    181 calls
New vector                          :      3.867u      0.267s      0.304w    181 calls
HF: Form C                          :     37.517u      0.867s      2.879w    195 calls
Grad: V T Perturb                   :     75.100u      0.467s      5.677w     15 calls
Grad: S                             :      0.583u      0.017s      0.048w     15 calls
Grad: JK                            :   2914.633u     92.267s    291.738w     15 calls
JKGrad: Amn                         :    352.067u     22.167s     43.241w     15 calls
JKGrad: Awmn                        :    388.850u     21.533s     45.388w     15 calls
JKGrad: AB                          :    132.383u      4.083s     16.340w     15 calls
